num_var,ngo_name,ngo_address,reg_no,reg_date,renewed_on,valid_until,district,county,remarks
,,www.hfwbd.com,,,,,,,
105,"Hunger Project, The","House-3/7, Asad",557,12-Nov-91,12-Nov-16,12-Nov-26,Dhaka,USA,
,,"Avenue,",,,,,,,
,,"Mohammadpur, Dhaka-",,,,,,,
,,1207,,,,,,,
,,"Phone: 8112622,",,,,,,,
,,8127975,,,,,,,
,,Fax: 8116812,,,,,,,
106,I Pas Bangladesh,"Eastern Road, New",2744,13-Nov-12,13-Nov-17,13-Nov-27,Dhaka,USA,
,,"DOHS Mohakhali,",,,,,,,
,,"Dhaka., Phone:",,,,,,,
,,9099671,,,,,,,
107,ICCO (Stiching,"Road-79, Plot-1/A,",2834,19-Nov-13,19-Nov-18,19-Nov-28,Dhaka,Netherlands,
,Interkerkelijke,"Debonoir Duplex,",,,,,,,
,Organisatie voor,"Gulshan-2, Dhaka",,,,,,,
,Ontwikkelingssamenwer,Phone: 31306927811,,,,,,,
,king),,,,,,,,
108,Ideas International,"House-1, R-15, Sector",211,11-Aug-86,10-Aug-96,10-Aug-01,Dhaka,Australia,
,,"# 3, Uttara Model Town,",,,,,,,
,,Dhaka,,,,,,,
,,Phone : 610784,,,,,,,
109,Included,"Appartment A/1, 47",2818,26-Sep-13,,26-Sep-18,Dhaka,Hangkong,
,,"West Agargaon,",,,,,,,
,,Dhaka.,,,,,,,
,,Phone: 9144752,,,,,,,
110,Interlife Bangladesh,"House-5/A, Rd-25/A,",13,22-Apr-81,15-May-05,15-May-10,Dhaka,Sweden,
,,"Banani, Dhaka",,,,,,,
,,Phone : 9881594,,,,,,,
111,International Angel,"Konabari, P.O.",220,5-May-87,15-May-17,15-May-27,Gazipur,Japan,
,Association,"Nilnagar, Gazipur",,,,,,,
,,"Phone : 9297138,",,,,,,,
,,9297164,,,,,,,
112,International,"House-21, Road-123,",173,27-Sep-84,15-May-15,15-May-20,Dhaka,USA,
,Development,"Gulshan-1, Dhaka-1212",,,,,,,
,Enterprises (IDE),"Phone: 9886515, Fax:",,,,,,,
,,9556548,,,,,,,
,,Phone : 8619258,,,,,,,
113,International Education,"1986/A, Zakir Hossain",1519,20-Apr-00,20-Apr-10,20-Apr-15,Chittagong,USA,
,Foundation,"Road Lane, East",,,,,,,
,,"Nasirabad, Chittagong",,,,,,,
,,Phone : 652034,,,,,,,
114,International,"House-32 (2nd Floor),",563,26-Nov-91,26-Nov-16,26-Nov-21,Dhaka,Saudi Arabia,Name Change on
,"Organisation for Relief,","Road-10, Sector-06,",,,,,,,27/03/2019
,Welfare & Development.,"Uttara, Dhaka.",,,,,,,
,,"Phone: 9894349, Fax:",,,,,,,
,,8823995,,,,,,,
115,International Needs,"House-28, Road-07,",88,22-Apr-81,15-May-15,15-May-20,Dhaka,New Zealand,
,,"Block-E, Banasri,",,,,,,,
,,"Rampura, Dhaka.",,,,,,,
,,"Phone: 7286553,",,,,,,,
,,7286018,,,,,,,
116,International Network of,"Flat-9-A, Confidence",1888,13-Nov-03,13-Nov-18,13-Nov-28,Dhaka,Netherlands,
,Alternative Financial,"Centre, Kha/9,",,,,,,,
,Institutions (INAFI),"Shahzadpur, Pragati,",,,,,,,
,,"Sarani, Gulshan, Dhaka-",,,,,,,
,,1212,,,,,,,
,,"Phone: 9890835,",,,,,,,
,,8837983,,,,,,,
117,International Relief &,BTMC Bhaban (8th,2636,12-Apr-11,,12-Apr-16,Dhaka,UK,
,Development Inco.,"Floor), 7-9 Kawran",,,,,,,
,,"Bazar, Dhaka.",,,,,,,
,,Phone: 01711-540895,,,,,,,
118,International Relief and,BTMC Bhaban (8th,2561,22-Apr-10,,22-Apr-15,Dhaka,USA,
,Development,"Floor), 7-9, Karwan",,,,,,,
,,"Bazar, Dhaka-1215",,,,,,,
119,International Relief,"House-39, Apt: A1,",514,7-Aug-91,7-Aug-11,7-Aug-16,Dhaka,USA,
,Friendship Foundation,"Road-28 (Old), 15",,,,,,,
,,"(New), Dhanmondi,",,,,,,,
,,Dhaka-1209,,,,,,,
,,"Phone : 9130294,",,,,,,,
,,9117514,,,,,,,
120,International Rescue,"Apt.-A4, Navana Miru,",3141,5-Mar-18,,5-Mar-28,Dhaka,USA,
,Committee (IRC),"House-4, Road-96,",,,,,,,
,,"Gulshan-2, Dhaka",,,,,,,
121,International Union for,"35-B/1, Indira Road,",434,12-Nov-90,,12-Nov-95,Dhaka,USA,
,Conservation of Nature,Dhaka,,,,,,,
,& Natural Resources,,,,,,,,
122,Islamic Aid,"215 Ahmed Nagar,",2177,24-Dec-06,24-Dec-11,24-Dec-16,Dhaka,UK,
,,"Mirpur-1, Dhaka-1216",,,,,,,
,,Phone: 0852843,,,,,,,
123,Islamic Relief - U.K.,"House-10, Road-10,",553,10-Nov-91,10-Nov-16,10-Nov-21,Dhaka,UK,
,,"Block-K, Baridhara,",,,,,,,
,,Dhaka-1212.,,,,,,,
,,Phone: +88 02,,,,,,,
,,"8819392, +88 02",,,,,,,
,,9893458,,,,,,,
,,Fax: 88 02 8825119,,,,,,,
124,Islamic Relief Agency,"House # 12, Rd-15,",528,31-Aug-91,31-Aug-06,31-Aug-11,Dhaka,Sudan,
,,"Sector-4, Uttara Model",,,,,,,
,,"Town, Dhaka",,,,,,,
,,Phone : 8916096,,,,,,,
125,JACE(Japan Asia,"24, Motijheel R/A (10th",1921,19-Apr-04,,19-Apr-09,Dhaka,Japan,
,Cultural Exchanges),Fl),,,,,,,
,,Dhaka.,,,,,,,
126,Japan Association of,"House-66 (Flat-A4),",2268,6-Sep-07,6-Sep-11,6-Sep-16,Dhaka,Japan,
,Drainage and,"Road-08, Block-C,",,,,,,,
,Environment (JADE),"Niketon, Gulshan-1,",,,,,,,
,,Dhaka-1212,,,,,,,
,,Phone: 9899574,,,,,,,
,,www.jade-bd.org,,,,,,,
127,Japan Bangladesh,Navaron(Shatkhera,1415,29-Aug-99,29-Aug-14,29-Aug-19,Jessore,Japan,
,Cultural Exchange,"Mor), P.O: Jadobpur,",,,,,,,
,Association,"Thana: Sarsa, Dist:",,,,,,,
,,Jessore,,,,,,,
,,Phone: 04228-759060,,,,,,,
128,Japan Bangladesh,"House-9, Plot-18,",1277,12-Jul-98,,12-Jul-03,Dhaka,Japan,
,Friendship Development,Kallyanpur Housing,,,,,,,
,Association,"Society, Dhaka.",,,,,,,
,,Phone : 732988,,,,,,,
129,Jhpiego,"UTC Building, Level-19,",3039,3-Oct-16,,3-Oct-21,Dhaka,USA,
,,"Panthapath, Kawran",,,,,,,
,,"Bazar, Dhaka.",,,,,,,
,,Phone: 01792818076,,,,,,,
130,Johns Hopkins,"Abonti, House-37 (Apt-",524,26-Aug-91,26-Aug-16,26-Aug-21,Dhaka,USA,
,University,"5B & 5D), Road-27,",,,,,,,
,,"Banani, Dhaka-1213",,,,,,,
,,Phone: 02-55035439,,,,,,,
131,Justice and Care,"House-07, Road-33,",2998,27-Jan-16,,27-Jan-21,Dhaka,UK,
,,"Gulshan-2, Dhaka.",,,,,,,
132,Konrad Adenuer Stiftung,"Jarman House, Road-",2813,4-Sep-13,,4-Sep-18,Dhaka,Germany,
,,"90, 10/C, Gulshan-2,",,,,,,,
,,Dhaka.,,,,,,,
,,Phone: 9988817,,,,,,,
133,Korean Civil Cultural,"House-01, Road-05,",2098,31-May-06,31-May-16,31-May-21,Dhaka,South Korea,
,Center,"Baridhara, Dhaka",,,,,,,
,,Phone: 01740992588,,,,,,,
134,Korean Development,218/3/A West Kafrul,334,3-Jan-90,3-Jan-15,3-Jan-20,Dhaka,South Korea,
,Association in,"(6th Fl.), Taltola,",,,,,,,
,Bangladesh (KDAB),"Begum Rokeya Sarani,",,,,,,,
,,Dhaka-1207.,,,,,,,
,,"Phone: 9103691-2,",,,,,,,
,,Fax: 9103693,,,,,,,
,,www.kdaborg.net,,,,,,,
135,Kuwait Society for Relief,"House-2, Road-6/A,",651,19-Sep-92,19-Sep-17,19-Sep-27,Dhaka,Kuwait,Name changed on
,(KSR),"Sector-4, Uttara, Dhaka",,,,,,,2/11/2017
,,"Phone : 8914926, Fax:",,,,,,,
,,8917134,,,,,,,
136,Land O Lakes,"House-461 (1st Floor),",1713,3-Apr-02,3-Apr-17,3-Apr-27,Dhaka,USA,
,,"Lane-08, Baridhara",,,,,,,
,,"DOHS, Dhaka-1206",,,,,,,
,,Phone: 8410818,,,,,,,
137,Learning for Life,"1st Floor, C-18, Block-",2907,29-Dec-14,,29-Dec-19,Dhaka,UK,
,Bangladesh,"E, Kakir Hossain Road,",,,,,,,
,,Dhaka.,,,,,,,
,,Phone: 01711-890237,,,,,,,
138,Lepra Bangladesh,"Navana Le Caprice,",1535,18-Jun-00,18-Jun-15,18-Jun-20,Dhaka,UK,
,,"Flat-A1, House-80,",,,,,,,
,,"Road-07, Block-H,",,,,,,,
,,"Banani, Dhaka.",,,,,,,
,,Phone: +88 02,,,,,,,
,,"8828791,",,,,,,,
,,Fax:: +88 02 9899531,,,,,,,
139,"Leprosy Mission, The","H-17A, Rd-3,",471,21-May-91,21-May-16,21-May-21,Dhaka,UK,
,,"Banani(Old), DOHS,",,,,,,,
,,Dhaka-1206,,,,,,,
,,"Phone : 8826395, Fax:",,,,,,,
,,8821074,,,,,,,
,,www.leporsymission.or,,,,,,,
,,g,,,,,,,
140,Life & Life Onlus,"House-67, Road-11/A,",2992,7-Jan-16,,7-Jan-21,Dhaka,Italy,
,,"Dhanmondi, Dhaka",,,,,,,
,,Phone: 01716-790378,,,,,,,
141,Luthern Health Care,"House # 349, Dilu",1197,14-Oct-97,14-Oct-17,14-Oct-27,Dhaka,USA,
,Bangladesh,"Road, Moghbazar,",,,,,,,
,,Phone :9357626,,,,,,,
,,www.ihcbdhaka@gmail,,,,,,,
,,.com,,,,,,,
142,M.A.F. Bangladesh,"House-299, Lane-4,",933,4-May-95,4-May-15,4-May-20,Dhaka,Sweden,
,,"DOHS, Baridhara,",,,,,,,
,,Dhaka,,,,,,,
,,"Phone : 8410164, Fax:",,,,,,,
,,8410165,,,,,,,
,,www.mafbangladesh.or,,,,,,,
,,g,,,,,,,
143,Management Science,"House-28, road-63,",2624,23-Feb-11,,23-Feb-16,Dhaka,USA,
,for Health,"Gulshan-2, Dhaka.",,,,,,,
,,Phone: 28822687,,,,,,,
144,Marcy International,Moynerbag Welfare,632,28-Jun-92,,28-Jun-97,Dhaka,USA,
,,"Complex, 326/327,",,,,,,,
,,"Moynerbag, Uttar",,,,,,,
,,"Badda, Dhaka.",,,,,,,
145,Medecins Sans,"House-34, Road-35,",665,11-Nov-92,11-Nov-12,11-Nov-22,Dhaka,France,
,Frontieres - France,"Gulshan-2, Dhaka",,,,,,,
,,Phone : 8814324,,,,,,,
146,Medicins Sans,"House # 102, Road-",664,11-Oct-92,10-Nov-17,10-Nov-27,Dhaka,Netherlands,
,Frontieres - Holland,"13/C, Block-E, Banani,",,,,,,,
,,Dhaka.,,,,,,,
,,"Phone : 8861690, Fax :",,,,,,,
,,8814324,,,,,,,
147,Medicins Sans Frontieres,"Flat-2, Floor-2, Road-25,",3170,14-Nov-18,,14-Nov-28,Dhaka,Spain,
,(MSF) Spain,"House-97/A, Block-A,",,,,,,,
,,"Banani, Dhaka-1213.",,,,,,,
148,Medicins Sans,"House-16, Road-32,",2473,6-Aug-09,6-Aug-14,6-Aug-24,Dhaka,Belgium,
,Frontieres-Belgium,"Gulshan-1, Dhaka.",,,,,,,
,(MSFB),Phone: 8817134-6,,,,,,,
149,Mennonite Central,"4/10, Iqbal Road,",59,22-Apr-81,15-May-15,15-May-20,Dhaka,USA,
,Committee (MCC),"Mohammadpur, Dhaka-",,,,,,,
,,1207,,,,,,,
,,"Phone: 9117065,",,,,,,,
,,9114366,,,,,,,
,,www.mcc.org/banglade,,,,,,,
,,sh.,,,,,,,
150,Missionaries of Charity,"Shishu Bhaban, 26,",58,22-Apr-81,15-May-15,15-May-20,Dhaka,India,
,,"Islampur Road, Dhaka",,,,,,,
,,"Phone : 7391116,",,,,,,,
,,01732-711050,,,,,,,
151,Mozidia Trust,130 D.I.T Extension,2238,27-May-07,27-May-17,27-May-27,Dhaka,UK,
,,"Road, Rahmat Bhaban",,,,,,,
,,"(2nd Floor), Fakirapool,",,,,,,,
,,"Motijheel, Dhaka-1000",,,,,,,
,,Phone: 9336869,,,,,,,
152,"Muslim Aid-UK,",House-13 (4th & 5th,552,10-Nov-91,10-Nov-16,10-Nov-21,Dhaka,UK,
,Bangladesh Field Office,"Floor), Road-27,",,,,,,,
,,"Block-J, Banani, Dhaka-",,,,,,,
,,1213,,,,,,,
,,"Phone: 8836221,",,,,,,,
,,"8836421, Fax: 8821368",,,,,,,
,,www.muslimaidbd.org,,,,,,,
153,Muslim Hands,"House-6/11 (5th Floor),",966,30-Aug-95,30-Aug-15,30-Aug-20,Dhaka,UK,
,International,"Block-E, Lalmatia,",,,,,,,
,,Dhaka,,,,,,,
,,Phone: 9113029,,,,,,,
154,Nakagawa Trust,"Village: South Salna,",1515,15-Apr-00,20-Apr-10,20-Apr-15,Gazipur,Japan,
,,"P.O:Salna Bazar,",,,,,,,
,,"Thana: Joydebpur,",,,,,,,
,,Gazipur.,,,,,,,
,,Phone: 9204948,,,,,,,
155,NETZ partnership for,"House-3/1, Block-D,",1865,7-Aug-03,7-Aug-18,7-Aug-28,Dhaka,Germany,
,Development and,"(4th & 6th Floor),",,,,,,,
,Justice,"Lalmatia, Dhaka-1207",,,,,,,
,,"Phone: 9667018, Fax:",,,,,,,
,,8626764,,,,,,,
156,New Apostolic Church,"House-104, Road-18,",104,9-Mar-81,15-May-16,15-May-21,Dhaka,Canada,
,Bangladesh,"Sector-14, Uttara Model",,,,,,,
,,"Town, Dhaka-1230",,,,,,,
,,Phone: 7913840,,,,,,,
,,www.newapostalichurch,,,,,,,
,,.org,,,,,,,
157,Newhem Bengali,"Bari Mansion, East",1193,6-Oct-97,6-Oct-07,6-Oct-12,Sylhet,UK,
,Community Trust,"Subid Bazar, Sylhet",,,,,,,
,,Phone : 715329,,,,,,,
158,Nigata International,"3/7, Block-B(2nd floor),",1531,7-Jun-00,7-Jun-05,7-Jun-10,Dhaka,Japan,
,Volunteer Centre,"Lalmatia, Dhaka",,,,,,,
,Bangladesh,Phone : 913022,,,,,,,
159,Normisjon Bangladesh,"House-99, Flat-A-2,",108,15-Oct-81,15-May-15,15-May-20,Dhaka,Norway,
,,"Road-4/25, Block-A,",,,,,,,
,,"Banani, Dhaka",,,,,,,
,,"Phone: 8850334, Fax:",,,,,,,
,,8850335,,,,,,,
160,Norwegian Refugee,"281D, Road-19-C,",3173,19-Nov-18,,19-Nov-28,Dhaka,Norway,
,Council,"Mohakhali DOHS, Dhaka.",,,,,,,
161,Nutrition International,"House-56/C, Road-132,",2266,26-Aug-07,26-Aug-12,26-Aug-17,Dhaka,Canada,
,,"Gulshan-1, Dhaka-1212",,,,,,,
,,"Phone: 9899896, Fax:",,,,,,,
,,8815154,,,,,,,
162,OISCA-IDB (JAPAN),"Vill: Narsingpur, PO:",80,22-Apr-81,15-May-15,15-May-20,Dhaka,Japan,
,,"Zirabo, PS: Ashulia,",,,,,,,
,,"Savar, Dhaka",,,,,,,
,,Phone: 01819-252004,,,,,,,
163,Okatani Brestfeeding,Institute of Child &,2841,28-Nov-13,,28-Nov-18,Dhaka,Japan,
,Method Training,"Mother Health, Matuail,",,,,,,,
,Enhancement Project,Dhaka,,,,,,,
,,Phone: 01819-223560,,,,,,,
164,OXFAM -Bangladesh,"House-4, Road-3, Block-",79,22-Apr-81,15-May-15,15-May-20,Dhaka,UK,
,,"I, Banani, Dhaka-1212",,,,,,,
,,"Phone : 8813607-9,",,,,,,,
,,Fax: 8817402,,,,,,,
,,www.oxfam.org.uk,,,,,,,
165,Oxfam Novib,"House-4, Road-3, 1",2840,28-Nov-13,28-Nov-18,28-Nov-28,Dhaka,Netherlands,
,,"Banani, Dhaka.",,,,,,,
,,Phone: 01713-068380,,,,,,,
166,Painted Children,"Arafat Niloy, House-16,",2548,4-Mar-10,,4-Mar-15,Dhaka,UK,
,,"Road-10, Apt: NE-4,",,,,,,,
,,"Gulshan-1, Dhaka.",,,,,,,
,,Phone: 01715-600219,,,,,,,
167,Pally Life Development,"Ga-99/5 (3rd floor),",2926,10-May-15,,10-May-20,Dhaka,USA,
,Society,"Rahima Tower, Middle",,,,,,,
,,"Badda, Progati Saroni,",,,,,,,
,,"PS: Badda, Dhaka-",,,,,,,
,,1212,,,,,,,
,,Phone: 01711-566459,,,,,,,
168,"Pang Ono, Pang Ono","Masuadanga, Tilok,",2845,18-Dec-13,,18-Dec-18,Khulna,Italy,Name Changed
,(ONLUS),"Rupsha, Khulna",,,,,,,on
,,Phone: 01715-771591,,,,,,,21/12/2016
169,Path Finder International,"House-15/A, Road-35,",45,22-Apr-81,15-May-15,15-May-20,Dhaka,USA,
,,"Gulshan-2, Dhaka-1212",,,,,,,
,,"Phone: 9892176, Fax:",,,,,,,
,,9892201,,,,,,,
,,www.pathfind.org,,,,,,,
170,Peoples for Rainwater,"House-05 (3rd Floor),",2684,11-Mar-12,11-Mar-17,11-Mar-22,Khulna,Japan,
,(P.R) Bagladesh,"Road-17, Block-E,",,,,,,,
,,"Banani, Dhaka-1213",,,,,,,
171,Plan International,"House-CWN(B), 14,",670,14-Dec-92,14-Dec-17,14-Dec-27,Dhaka,USA,
,Bangladesh,"Road-35, Gulshan-2,",,,,,,,
,,Dhaka-1212,,,,,,,
,,"Phone: 8826209, fax:",,,,,,,
,,9861599,,,,,,,
,,www.plan-,,,,,,,
,,interational.org,,,,,,,
172,Population Council,"House-15B, Road-13,",442,10-Feb-91,10-Feb-16,10-Feb-21,Dhaka,USA,
,(USA),"Gulshan-1, Dhaka-1212",,,,,,,
,,"Phone: 8821227, Fax:",,,,,,,
,,8823127,,,,,,,
,,www.popcouncil.org,,,,,,,
173,Practical Action,"House-28/A, Road-05,",390,21-Oct-90,21-Oct-15,21-Oct-20,Dhaka,UK,
,,"Dhanmondi R/A, Dhaka-",,,,,,,
,,1205,,,,,,,
,,"Phone: 9672683, Fax:",,,,,,,
,,9674340,,,,,,,
,,www.practicalaction.org,,,,,,,
174,Premiere Urgence,"Apt-101, 72, Park",2413,25-Feb-09,25-Feb-14,25-Feb-24,Dhaka,France,Name changed
,International (PUI),"Road, Baridhara,",,,,,,,
,,Dhaka.,,,,,,,
175,Presbyterian Fellowship,"Vill: Karamtalo, Post :",121,14-Jan-82,15-May-15,15-May-20,Dhaka,South Korea,
,in Bangladesh,"Pobail, Dist: Gazipur.",,,,,,,
,,Phone: 02-9814091,,,,,,,
176,Progetto Uomo Rishilpi,"Gopinathpur, Binerpota,",215,24-Feb-87,24-Feb-17,24-Feb-22,Sathkhira,Italy,
,International Onlus,Satkhira-9400,,,,,,,
,,"Phone : 0471-63527,",,,,,,,
,,Fax: 0471-63027,,,,,,,
,,www.prouomorishilpi.or,,,,,,,
,,g,,,,,,,
177,Project Concern,"House-411, Road-04,",2591,8-Aug-10,8-Aug-15,8-Aug-20,Khulna,USA,
,International,Sonadanga Housing,,,,,,,
,,"(Phase-2), Khulna-9100",,,,,,,
,,Phone: 041-724387,,,,,,,
,,www.pciproshar.org,,,,,,,
178,Project Hope,"A4 La Casandra, 44",2800,11-Jul-13,,11-Jul-18,Dhaka,USA,
,,Ramkrishna Mission,,,,,,,
,,"Road, Dhaka.",,,,,,,
,,Phone: 9569028,,,,,,,
179,Project Orbis,"Esprit, Apartment No.-",1471,20-Jan-00,20-Jan-15,20-Jan-20,Dhaka,USA,
,International Inc.,"A4, Plot-24, Road-130,",,,,,,,
,,"Gulshan-1, Dhaka-1212",,,,,,,
,,"Phone: 9858033, Fax:",,,,,,,
,,+8802 9849702,,,,,,,
,,www.orbis.org.bd,,,,,,,
180,Qatar Charity,"House-51, Road-13,",929,19-Apr-95,19-Apr-15,19-Apr-20,Dhaka,Qatar,
,,"Block-E, Banani, Dhaka-",,,,,,,
,,1213,,,,,,,
,,"Phone : 9883439, Fax:",,,,,,,
,,9872941,,,,,,,
181,Rabeta Al Alam Al Islam,"H-5/5, Gaznabi Road,",110,19-Oct-81,15-May-07,15-May-12,Dhaka,Saudi Arabia,
,,"Block-B,",,,,,,,
,,"Mohammadpur, Dhaka-",,,,,,,
,,1207,,,,,,,
,,Phone : 9121027,,,,,,,
182,Ramkrishna Mission,"27, R.K. Mission Road,",16,22-Apr-81,15-May-10,15-May-15,Dhaka,India,
,,Dhaka-1203,,,,,,,
,,"Phone : 955370,",,,,,,,
,,9564055,,,,,,,
183,Relief International,House-451 (3rd & 4th,2044,8-Nov-05,8-Nov-15,8-Nov-20,Dhaka,USA,
,,"Floor), Road-08 (West),",,,,,,,
,,"Baridhara DOHS,",,,,,,,
,,Dhaka-1206,,,,,,,
,,"Phone: 8413156, Fax:",,,,,,,
,,8413156,,,,,,,
,,www.ri-org,,,,,,,
184,"Research, Training and","Rtm Complex, 581,",871,30-Nov-94,30-Nov-14,30-Nov-19,Dhaka,USA,
,Management,"Shewrapara, Begum",,,,,,,
,International,"Rokeya Sarani, Mirpur,",,,,,,,
,,Dhaka-1216,,,,,,,
,,"Phone: 8034814,Fax:",,,,,,,
,,8034638,,,,,,,
,,www.rtm-,,,,,,,
185,"Rissho Kosei-Kai,","85/A, Chanmari Road,",2532,26-Jan-10,26-Jan-15,26-Jan-20,Dhaka,Japan,
,Bangladesh,"Hilside R/A, Lalkhan",,,,,,,
,,"Bazar, Khulsi,",,,,,,,
,,Chittagong,,,,,,,
,,Phone: 8413855,,,,,,,
186,Rodem Foundation,"House-266, Lane-3,",2822,9-Oct-13,9-Oct-18,9-Oct-28,Dhaka,South Korea,
,,"Baridhara New DOHS,",,,,,,,
,,Dhaka.,,,,,,,
,,Phone: 01715-016732,,,,,,,
187,Room to Read,6/3 Lalmatia (2nd and,2376,10-Jul-08,10-Jul-18,10-Jul-28,Dhaka,USA,
,Bangladesh,"3rd Floor), Block-D,",,,,,,,
,,"Dhaha, Bangladesh.",,,,,,,
,,"Telephone: 9103627,",,,,,,,
,,Fax: 9111766,,,,,,,
,,www.roomtoread.org,,,,,,,
188,Salt Financial Literacy,"43/4, Senpara, Parbata,",3054,5-Dec-16,,5-Dec-21,Dhaka,USA,
,"International, Inc.","Mirpur-10, Dhaka",,,,,,,
,,Phone: 01720304075,,,,,,,
189,Samsal Bangladesh,"67/2, Jikhatola (5th",2455,9-Jun-09,9-Jun-14,9-Jun-19,Dhaka,South Korea,
,(Skip A Meal Save A,"Floor), Dhaka",,,,,,,
,Life),Phone: 01720-581722,,,,,,,
190,Save The Children,"House-1A(2), Road-91,",35,22-Apr-81,15-May-10,15-May-15,Dhaka,USA,
,(USA),"Gulshan-2, Dhaka.",,,,,,,
,,"Phone: 8828081, Fax:",,,,,,,
,,9886372,,,,,,,
191,Save The Children Fund,"House-3/1, Road-08,",212,21-Jan-87,21-Jan-11,21-Jan-16,Dhaka,Australia,
,(Australia),"Dhanmondi, Dhaka-",,,,,,,
,,1205,,,,,,,
,,"Phone: 9611599, Fax:",,,,,,,
,,9611600,,,,,,,
,,www.savethechildren.or,,,,,,,
,,g.au,,,,,,,
192,Save The Children Fund,"Plot-14, Road # 16A,",22,22-Apr-81,15-May-10,15-May-15,Dhaka,UK,
,(UK),"Gulshan-1, Dhaka-1212",,,,,,,
,,Phone : 8812523,,,,,,,
193,Save the Children,"House-CWN(A) 35,",2630,20-Mar-11,20-Mar-16,20-Mar-21,Dhaka,UK,
,International,"Road-43, Gulshan-2,",,,,,,,
,,Dhaka-1212,,,,,,,
,,"Phone: 9861690, Fax:",,,,,,,
,,9886372,,,,,,,
194,Save the Children-,"House-9, Road-16,",27,22-Apr-81,15-May-10,15-May-15,Dhaka,Sweden,
,Sweden,"Circle-1, Gulshan-1,",,,,,,,
,,Dhaka,,,,,,,
,,"Phone : 8828118, Fax:",,,,,,,
,,8810448,,,,,,,
,,www.savethechildren.d,,,,,,,
,,k.rb.se,,,,,,,
195,School Aid Japan-,"Narayankul, Pubail,",3185,20-Jan-19,,20-Jan-29,Gazipur,Japan,
,Bangladesh,"Sadar, Gazipur",,,,,,,
,,Mob: 01782745414,,,,,,,
196,Sefar World,"House-08, Road-13,",2774,19-Mar-13,19-Mar-18,19-Mar-28,Dhaka,UK,
,,"Dhanmondi, Dhaka",,,,,,,
,,Phone: 8159970,,,,,,,
197,Service Civil,"7 Maharaja Road,",184,18-Aug-85,18-Aug-95,18-Aug-00,Dhaka,Switzerland,
,International (SCI),Mymenshing.,,,,,,,
,Bangladesh,,,,,,,,
198,Sesame Workshop,"3rd Floor, House-01,",2739,30-Oct-12,30-Oct-17,30-Oct-27,Dhaka,USA,
,Bangladesh,Shayesta Khan,,,,,,,
,,"Avenue, Sector-04,",,,,,,,
,,"Uttara, Dhaka",,,,,,,
,,Phone: 01811-458725,,,,,,,
199,Seventh Day Adventist,"149, Shah Ali Bagh,",62,22-Apr-81,15-May-15,15-May-20,Dhaka,USA,
,Church of Bangladesh,"Mirpur-1, Dhaka-1216",,,,,,,
,,Phone : 8012340,,,,,,,
200,Shapla Neer (Help,"9/19 Iqbal Road, Block",111,29-Oct-81,15-May-15,15-May-20,Dhaka,Japan,
,Bangladesh Committee),"# A, Mohammadpur,",,,,,,,
,,Dhaka,,,,,,,
,,"Phone : 9119195, Fax:",,,,,,,
,,8116009,,,,,,,
201,Sharjah Charity,"House-02, Road-06/A,",825,20-Apr-94,20-Apr-19,20-Apr-29,Dhaka,UAE,
,International,"Sector-04, Uttara,",,,,,,,
,,Dhaka-1230,,,,,,,
,,Phone: 89955395,,,,,,,
202,Sight Savers-Royal,"House-1/B (5th floor),",7,22-Apr-81,15-May-15,15-May-20,Dhaka,UK,
,Commonwealth Society,"Road-08, Block-I,",,,,,,,
,for the Blind,"Banani, Dhaka-1213",,,,,,,
,,"Phone: 8826821, Fax:",,,,,,,
,,8826580,,,,,,,
,,www.sightsavers.org,,,,,,,
203,Sil International,"House-11, Road-19/A,",1571,5-Oct-00,5-Oct-15,5-Oct-20,Dhaka,USA,
,,"Sector-04, Uttara,",,,,,,,
,,Dhaka-1234,,,,,,,
,,Phone: 58950923,,,,,,,
204,Sir William Beveridge,Hasan Holdings (6th,2262,15-Aug-07,15-Aug-17,15-Aug-27,Dhaka,UK,
,Foundation,"Floor), 52/1, New",,,,,,,
,,"Eskaton Road, Ramna,",,,,,,,
,,Dhaka-1000,,,,,,,
,,"Phone: 9353633, Fax:",,,,,,,
,,9361500,,,,,,,
,,www.beveridgefoundati,,,,,,,
205,SMC (Sacheon Multi,"House-24 (Gr. Fl.),",2826,30-Oct-13,30-Oct-18,30-Oct-28,Dhaka,South Korea,
,Cultural Intigration,"Road-4, Sector-12,",,,,,,,
,Support Center,"Uttara, Dhaka.",,,,,,,
,,Phone: 01779-479566,,,,,,,
206,Society for International,4/14 Humayun Road,105,3-Sep-81,15-May-15,15-May-20,Dhaka,Canada,
,Ministries (SIM),"Mohammadpur, Dhaka.",,,,,,,
,,Phone: 04478005870,,,,,,,
207,Society of Social and,"House-24, Road-08,",760,25-Oct-93,25-Oct-13,25-Oct-18,Dhaka,Kuwait,
,Technological Support,"Sector-06, Uttara,",,,,,,,
,,Dhaka.,,,,,,,
,,Phone: 8915338,,,,,,,
,,www.ssrbd.org,,,,,,,
208,Solidarided Network,Appartment-A/1 (1st,2827,30-Oct-13,,30-Oct-18,Dhaka,Hangkong,
,Asia,"Fl.), Plot-32 (New), 631",,,,,,,
,,"(Old), Dhanmondi,",,,,,,,
,,Dhaka.,,,,,,,
,,Phone: 01712-187988,,,,,,,
209,Solidarities International,"House-15, Apartment-",2383,5-Aug-08,5-Aug-13,5-Aug-18,Dhaka,France,
