"","num_var","ngo_name","ngo_address","reg_no","reg_date","renewed_on","valid_until","district","county","remarks","type_ngo"
"472",472,"Bittahin Bhaggyodoy Songothan (BIVAS)","Birol Bazar, Birol, Dinajpur Phone: 01715-270159","1317 ","23-Nov-98 ","23-Nov-03 ","23-Nov-08 ","Dinajpur ","Bangladesh "," ","local"
"473",473,"BIVA   ","House-584/2, Guakhola, PO: Noapara, UZ: Abhajnagar, Dist: Jessore-7460 Phone: 01711-440199","2245   ","19-Jun-07   ","19-Jun-17   ","19-Jun-22   ","Jessore   ","Bangladesh   ","   ","local"
"474",474,"Blind Education & Rehabilitation Development Organisation (BERDO) ","3/1, Road-11, Rupnagar, Section-5, Mirpur, Dhaka. Phone : 9009451, 8060703 Fax: 9003786 www.berdobd.org","861    ","6-Oct-94    ","6-Oct-14    ","6-Oct-19    ","Dhaka    ","Bangladesh    ","    ","local"
"475",475,"Blue Planet Initiative (BPI)   ","House-159, Road-6, Block-KA, PC Culture Housing, Mohammadpur, Dhaka, Mob: 01558343229","3108   ","8-Nov-17   ","   ","8-Nov-27   ","Dhaka   ","Bangladesh   ","   ","local"
"476",476,"Boalia Islamia Madrasha & Etimkhana","Anowara, Chittagong. Phone : 223550","1207 ","23-Oct-97 "," ","23-Oct-02 ","Chittagong ","Bangladesh "," ","local"
"477",477,"Bohubrihy   ","Vill: Tatolia, PO: Boshir Bandar, PS: Chirin Bandar, Dist: Dinajpur. Phone: 01714-383207","2711   ","21-Jun-12   ","   ","21-Jun-17   ","Dinajpur   ","Bangladesh   ","   ","local"
"478",478,"Bohumukhi Polly Unnayan Sangstha ","Vill: Rajarampur, PS: Phulbari, Dinajpur. Phoen: 01710-971225","2535  ","1-Feb-10  ","1-Feb-15  ","1-Feb-20  ","Dinajpur  ","Bangladesh  ","  ","local"
"479",479,"Bonochaya Mohila Kallayan Somity ","97/7, Boyra Cross Road No-1, Sonadanga, Khulna. Phone: 01963-915952","435  ","26-Jan-91  ","26-Jan-11  ","26-Jan-16  ","Khulna  ","Bangladesh  ","  ","local"
"480",480,"Bonoful Foundation  ","Village: Sannasgasha, PO: Gowrigona, PS: Keshebpur, Dist: Jessore.","2816  ","17-Sep-13  ","17-Sep-18  ","17-Sep-28  ","Jessore  ","Bangladesh  ","  ","local"
"481",481,"Bonolata Samaj Kalyan Sangstha","Jibannagar, Darsana, Chuadanga","2440 ","26-May-09 "," ","26-May-14 ","Chuadanga ","Bangladesh "," ","local"
"482",482,"Borgang Foundation ","House- P-341, PanKhiyapara, Khagrachari-4400,","2371 ","2-Jul-08 "," ","2-Jul-13 ","Khagrachari ","Bangladesh "," ","local"
"483",483,"BPS (Bangladesh Patriot Society)  ","Baghia Bazar, Tongibari, Munshiganj. Phone: 01712-870080 www.bpsngo.com","2463   ","1-Jul-09   ","1-Jul-14   ","1-Jul-19   ","Munshiganj   ","Bangladesh   ","   ","local"
"484",484,"BRAC   ","BRAC Centre, 75, Mohakhali C/A, Dhaka Phone : 9881265, Fax: 9888026 www.brac.net","2   ","22-Apr-81   ","15-May-15   ","15-May-20   ","Dhaka   ","Bangladesh   ","   ","local"
"485",485,"BRAYDS ","Rani Sankail, Thakurgaon Phone: 01715672208","1541 ","25-Jun-00 ","25-Jun-15 ","25-Jun-20 ","Thakurgaon ","Bangladesh "," ","local"
"486",486,"Breaking the Silence   ","10/14, Iqbal Road (3rd Floor), Mohammadpur, Dhaka-1207. Phone: 8129926 www.breakingthesilencebd.org","1642   ","20-May-01   ","20-May-16   ","20-May-21   ","Dhaka   ","Bangladesh   ","   ","local"
"487",487,"BRIC Bangladesh Resource Improvement Centre","North Dewana, Dowlatpur, Khulna. ","2021  ","27-Mar-05  ","  ","27-Mar-10  ","Khulna  ","Bangladesh  ","  ","local"
"488",488,"Bridge Education and Health Foundation (BEHF)","House-120, Block-F, Road-01, Banani, Dhaka.","2381 ","31-Jul-08 "," ","31-Jul-13 ","Dhaka ","Bangladesh "," ","local"
"489",489,"Bridge Society     ","House-243 (1-D), Sapnil Adarsh Road, Separa Parbata, PS: Kafrul, Mirpur-10, Dhaka-1216 Phone: 01552421064, 29010155 www.bridgesocietybd.org","2047     ","14-Dec-05     ","14-Dec-15     ","14-Dec-20     ","Dhaka     ","Bangladesh     ","     ","local"
"490",490,"Bright Bangladesh Forum   ","House-23/B, Road-03, Katalgonj R/A, Panchlish, Chittagong-4203 Phone: 031-2555901","1829   ","7-May-03   ","7-May-18   ","7-May-28   ","Chittagong   ","Bangladesh   ","   ","local"
"491",491,"Brotee Samaj Kallayan Sangstha ","765, Sat Masjid Road, Dhanmondi, Dhaka Phone: 9113501, 9140800","1678  ","26-Sep-01  ","26-Sep-16  ","26-Sep-21  ","Dhaka  ","Bangladesh  ","  ","local"
"492",492,"Bulbul Samaj Kalyan Sangstha ","Airport Road, Old Kosba, Jessore Phone: 0421-68910","516  ","7-Aug-91  ","7-Aug-16  ","7-Aug-21  ","Jessore  ","Bangladesh  ","  ","local"
"493",493,"Bureau of Human Rights Bangladesh (BHRB) ","78/E, Purana Paltan Lane, Dhaka. Phone : 9332744","1437  ","19-Oct-99  ","  ","19-Oct-04  ","Dhaka  ","Bangladesh  ","  ","local"
"494",494,"Calvary Apostolic Church  ","PO: KUET, Daulatupr, Khulna- 9203 Phone: 041-2870024","106  ","3-Sep-81  ","15-May-10  ","15-May-15  ","Khulna  ","USA  ","  ","local"
"495",495,"Campaign for Sustainable Development (CSD) ","Vill: Bashudeb, P.O: Ujani, P.S: Mukshedpur, Dist: Gopalgonj. Phone: 01759-776237","1294  ","10-Sep-98  ","10-Sep-18  ","10-Sep-28  ","Gopalganj  ","Bangladesh  ","  ","local"
"496",496,"CAP Anamur   ","House-70-71 (3rd Floor), Road- 3, Janata Housing Society, Ring Road, Adabar, Mohammadpur, Dhaka-1207","2307   ","20-Feb-08   ","20-Feb-18   ","20-Feb-28   ","Dhaka   ","Germany   ","   ","local"
"497",497,"CARE-Bangladesh    ","Retired Army Officers Welfare Association(RAOWA) Convention Center, VIP Road Mohakhali, Dhaka-1206, email:info@bd.care.org","4    ","22-Apr-81    ","15-May-15    ","15-May-20    ","Dhaka    ","USA    ","    ","local"
"498",498,"CARITAS - Bangladesh    ","2, Outer Circular Road, Shantibagh, Dhaka Phone : 8315405-9, 8315641 Fax: 88314993 www.caritasbd.org","9    ","22-Apr-81    ","15-May-15    ","15-May-20    ","Dhaka    ","Bangladesh    ","    ","local"
"499",499,"Caritas Switzerland  ","House-9/A (5th Floor), Road-15 (New), Dhanmondi, Dhaka. Phone: 9114133","2848  ","5-Feb-14  ","5-Feb-19  ","5-Feb-29  ","Dhaka  ","Switzerland  ","  ","local"
"500",500,"Catalist  ","16/E(3rd floor), Indira Road, Dhaka Phone : 9119957","1690  ","25-Oct-01  ","  ","25-Oct-06  ","Dhaka  ","Bangladesh  ","  ","local"
"501",501,"CBM Country Co- ordination Office, Bangladesh ","House-12( Gr., Fl.), Road-2/A, Block-F, Banani, Dhaka. Phone: 9887251, Fax: 9896802 www.cbm.org","2157   ","12-Nov-06   ","12-Nov-16   ","12-Nov-26   ","Dhaka   ","Bangladesh   ","   ","local"
"502",502,"Center for Indigenous Peoples Research & Development","House-71, Road-07, Block-H, Banani, Dhaka. ","2077  ","5-Mar-06  ","  ","5-Mar-11  ","Dhaka  ","Bangladesh  ","  ","local"
"503",503,"Center for Integrated Program and Development ","Ray Bahadur Road, Rangamati, Post Box-34, Rangamati-4500. phone: 0351-61013","1956  ","9-Sep-04  ","9-Sep-14  ","9-Sep-19  ","Rangamati  ","Bangladesh  ","  ","local"
"504",504,"Center for Men and Masculinities Studies (CMMS)","519/A, Road-09, Dhanmondi, Dhaka Phone: 01718-330489","2963  ","9-Sep-15  ","  ","9-Sep-20  ","Dhaka  ","Bangladesh  ","  ","local"
"505",505,"Center for Natural Resource Studies(CNRS) ","House-13, Road-17, Block-D, Banani, Dhaka-1213. Phone : 9820127, Fax: 9820129","841  ","6-Jul-94  ","6-Jul-14  ","6-Jul-19  ","Dhaka  ","Bangladesh  ","  ","local"
"506",506,"Center for Orientation and Educational (COE) ","House-443/1, Christian Para, Boro Boyra, Khulna-9000 Phone: 01710-0963787","2476  ","25-Aug-09  ","  ","25-Aug-14  ","Khulna  ","Italy  ","  ","local"
"507",507,"Center for Participatory Research & Development  ","House-138, Flat A6, Block-A, Niketon Housing Society, Gulshan-1, Dhaka Phone: 01729259491","3031   ","24-Jul-16   ","   ","24-Jul-21   ","Dhaka   ","Bangladesh   ","   ","local"
"508",508,"Center for Rural Child Development (CRCD)","Akubdondi, P.O. Iqbal Park, Thana Boalkhali, Chittagong","1017 ","10-Mar-96 ","10-Mar-01 ","10-Mar-06 ","Chittagong ","Bangladesh "," ","local"
"509",509,"Center for Rural Service Society ","Natun Bazar, BM College Road, Barisal-8200, Phone: 0431-2176091","2465  ","5-Jul-09  ","5-Jul-14  ","5-Jul-19  ","Barisal  ","Bangladesh  ","  ","local"
"510",510,"Center for Social Development  ","Vill: Dakhin Baguarchar, PO & Upazila: Romary, DistK Kurigram Phone:01714545147","3006   ","14-Feb-16   ","   ","14-Feb-21   ","Kurigram   ","Bangladesh   ","   ","local"
"511",511,"Center for the Defence of Human Rights  ","House-91, Syed Nazrul Islam Sarani, North South Road (5th Floor), Dhaka-1100. Phone: 01552-491659","2531   ","19-Jan-10   ","19-Jan-15   ","19-Jan-20   ","Dhaka   ","Bangladesh   ","   ","local"
"512",512,"Center to Accelerate Development & Advance Movement (CADAM) ","Curcuit House Moore, Dak Bangla Road, Sadar, Nilphamari, Mob: 01712596993","3228   ","15-Dec-19   ","   ","15-Dec-29   ","Nilphamari   ","Bangladesh   ","   ","local"
"513",513,"Centre for Advd. Res. in Natural Resources and Management (CARINAM)  ","House-545, Road-11, Baitul Aman Housing Society, Adabar, Shamoly, Dhaka. Phone: 01717-318906 www.carinam.org.bd","1128    ","28-Jan-97    ","28-Jan-07    ","28-Jan-12    ","Dhaka    ","Bangladesh    ","    ","local"
"514",514,"Centre for Agribusiness and Community Development (ABCD) ","A.H. Tower (7th Floor), Road-2, Sector-3, Uttara Model Town, Dhaka-1230 Phone: 8961876, Fax: 8962835","1351   ","25-Feb-99   ","25-Feb-14   ","25-Feb-19   ","Dhaka   ","Bangladesh   ","   ","local"
"515",515,"Centre for Coastal Environmental Conservation (CCEC) ","Tagdir Mohal, House-93, Road- 2, Sonadanga, Khulna-9000 Phone: 041-810982 www.ccecbd.org","1085   ","26-Oct-96   ","26-Oct-16   ","26-Oct-21   ","Khulna   ","Bangladesh   ","   ","local"
"516",516,"Centre for Community Development & Research ","Sharantila, PO: Rangamati, PS: Katwaly, Dist: Ragamati. Phone: 01733-072484","2863  ","4-Jun-14  ","  ","4-Jun-19  ","Rangamati  ","Bangladesh  ","  ","local"
"517",517,"Centre for Community Development Assistance (CCDA) ","Vill. Adampur, P.O. Raypur, Thana Daudkandi, Dist. Cumilla Phone : 8711215 www.ccdabd.org","1010   ","11-Feb-96   ","11-Feb-16   ","11-Feb-21   ","Comilla   ","Bangladesh   ","   ","local"
"518",518,"Centre for Community Development Services ","Dattabari Sharak, PO: Upazilla & District: Sirajganj Phone: 01712-157886","2947  ","30-Jul-15  ","  ","30-Jul-20  ","Sirajganj  ","Bangladesh  ","  ","local"
"519",519,"Centre for Development and Peace (CDP) ","Mujibnagar Road, PO & UZ: Meherpur, Dist: Meherpur Phone: 0791-63667","2519  ","26-Nov-09  ","26-Nov-14  ","26-Nov-19  ","Meherpur  ","Bangladesh  ","  ","local"
"520",520,"Centre for Development Communication ","50, Purana Paltan Line, (3rd floor), Dhaka. Phone : 9334556","1220  ","3-Dec-97  ","3-Dec-02  ","3-Dec-07  ","Dhaka  ","Bangladesh  ","  ","local"
"521",521,"Centre for Development Innovation and Practices (CDIP)","House-17, Road-13, Pisciculture Housing Society, Shekhertek, Adabar, Dhaka","3231  ","27-Jan-20  ","  ","27-Jan-20  ","Dhaka  ","Bangladesh  ","  ","local"
"522",522,"Centre for Development Programme ","Vill+Post- Nalia Jamalpur, Upazilla- Baliakandi, Dist.- Rajbari.","1953  ","31-Aug-04  ","  ","31-Aug-09  ","Rajbari  ","Bangladesh  ","  ","local"
"523",523,"Centre for Development Services (CDS) ","House-2/1, Road-1, Shyamoli, Dhaka-1207 Phone: 8111319, Fax: 8115512","204  ","23-Jan-86  ","23-Jan-16  ","23-Jan-21  ","Dhaka  ","Bangladesh  ","  ","local"
"524",524,"Centre for Disability in Development (CDD) ","A-18/6, Genda, Savar, Dhaka- 1340 Phone: 01713-021695","1115  ","31-Dec-96  ","31-Dec-16  ","31-Dec-26  ","Dhaka  ","Bangladesh  ","  ","local"
"525",525,"Centre for Education, Creative and Performing Arts","64/C, Green Road, Dhaka-1205  ","1659  ","4-Sep-01  ","4-Sep-06  ","4-Sep-11  ","Dhaka  ","Bangladesh  ","  ","local"
"526",526,"Centre for Health, Education, Environment Development and Democracy ","11 Purana Paltan (Ibrahim Mansion) Room No.-413, Motijheel, Dhaka-1000. Phone: 9561857, 01819- 29847701","2160    ","13-Nov-06    ","13-Nov-11    ","13-Nov-16    ","Dhaka    ","Bangladesh    ","    ","local"
"527",527,"Centre for Injury Prevention and Research, Bangladesh (CIPRB) ","House-B-162, Road-23, New DOHS, Mohakhali, Dhaka-1206 Phone: 8814988, Fax: 8814964 www.ciprb.org","2004   ","6-Feb-05   ","6-Feb-15   ","6-Feb-20   ","Dhaka   ","Bangladesh   ","   ","local"
"528",528,"Centre for Integrated Social Development (CISD)  ","House-19, Road-6/A, Sector-05, Uttara, Dhaka-1230 Phone: 8955595 www.cisdbd.org","1393   ","17-Jun-99   ","17-Jun-14   ","17-Jun-19   ","Dhaka   ","Bangladesh   ","   ","local"
"529",529,"Centre for Mass Education in Science (CMES)  ","House # 828, Road # 19(Old), Dhanmondi R/A, Dhaka-1209 Phone : 8111898, Fax: 8013559 www.cmesbd.org","82   ","22-Apr-81   ","15-May-15   ","15-May-20   ","Dhaka   ","Bangladesh   ","   ","local"
"530",530,"Centre for Policy Dialogue   ","House-40/C, Road-11, Dhanmondi, Dhaka - 1000 Phone :91145090, Fax: 8130951 www.cpd.org.bd","918   ","8-Mar-95   ","8-Mar-15   ","8-Mar-20   ","Dhaka   ","Bangladesh   ","   ","local"
"531",531,"Centre for Rehabilitation of Torture Survivors (CRTS)   ","8/2, Motaleb Tower (2nd Floor), 2fl-K, Paribagh, Hatirpul, Dhaka- 1000 Phone: 8621138, Fax: 8122272 www.crts-bd.org","1615    ","25-Jan-01    ","25-Jan-16    ","25-Jan-26    ","Dhaka    ","Bangladesh    ","    ","local"
"532",532,"Centre for Rights and Development (CRD) ","Vill: Palli Bidyut More, PO: Chotodap, UZ: Atwari, Panchagar.","1320  ","14-Dec-98  ","14-Dec-18  ","14-Dec-28  ","Dhaka  ","Bangladesh  ","  ","local"
"533",533,"Centre for Services And Information On Disability     ","House-676, Road-13, Baitul Aman Housing Society, Adabor, Dhaka-1207 Phone : 9129727, 8125669, 8143882 Fax: 8125669 www.csidnetwork.org","1322      ","15-Dec-98      ","15-Dec-18      ","15-Dec-28      ","Dhaka      ","Bangladesh      ","      ","local"
"534",534,"Centre for Sustainable Development  ","House-8/6 (1st Floor), Block-B, Lalmatia, Dhaka-1207 Phone: 9119126, Fax: 9130083 www.cfsd-bd.org","473   ","22-May-91   ","24-May-11   ","24-May-16   ","Dhaka   ","Bangladesh   ","   ","local"
"535",535,"Centre for Sustainable Development and Research (CSDR) ","248, Chandmari Road, Bankpara, Gopalganj Town, Dist: Gopalganj Phone: 01730-059357","2583   ","17-Jun-10   ","17-Jun-15   ","17-Jun-20   ","Dhaka   ","Bangladesh   ","   ","local"
"536",536,"Centre for Urban and Rural Development (CURD)","T&T Road, Barabazar, Meherpur-7100 ","2140  ","8-Oct-06  ","  ","8-Oct-11  ","Meherpur  ","Bangladesh  ","  ","local"
"537",537,"Centre for Women and Children Studies (CWCS)","92, New Eskaton Road, Dhaka Phone : 9351126, Fax: 9337289","1116 ","2-Jan-97 ","2-Jan-17 ","2-Jan-27 ","Dhaka ","Bangladesh "," ","local"
"538",538,"Centre fro Capacity Building of Voluntary Organization (CCBVO)","Mahis Bathan, Rajshai Court, Rajshahi. Phone: 01711-274278","2760  ","3-Jan-13  ","  ","3-Jan-18  ","Rajshahi  ","Bangladesh  ","  ","local"
"539",539,"Ceshires Foundation Homes-Bangladesh  ","Sonargaon Janapath, House- 32, Sector-9, Uttara Model Town, Dhaka-1230 Phone: 8911276","138   ","1-Apr-83   ","14-May-15   ","14-May-20   ","Dhaka   ","UK   ","   ","local"
"540",540,"Chaindha Rakkhita Shishu Sadan  ","Sonaichari Marogapara, Naikhongchari, Bandarban Hill Tract District, Bandarban. Phone: 01827-7262844","2118   ","6-Aug-06   ","6-Aug-16   ","6-Aug-21   ","Bandarban   ","Bangladesh   ","   ","local"
"541",541,"Chak Dhadash Daridro Bimochon Somaj Unnion Kormo Songstha","Vill: Chak Dhadash, P.O. Baneswar, Upazila: Putia, Dist.: Rajshahi.","2467  ","9-Jul-09  ","  ","9-Jul-14  ","Rajshahi  ","Bangladesh  ","  ","local"
"542",542,"Chalanbeel Dustha Mahila Shangstha ","Vill+PO+Upazilla: Tarash, Dist: Sirajganj Phone: 01952373488","3020  ","18-Apr-16  ","  ","18-Apr-21  ","Dhaka  ","Bangladesh  ","  ","local"
"543",543,"Chalantika Jubo Society    ","Chowdhury Villa, House-01, Road-06, Sonadanga R/A, Khulna Phone: 041-731976 www.chalantika.org","2500    ","22-Oct-09    ","22-Oct-14    ","22-Oct-19    ","Khulna    ","Bangladesh    ","    ","local"
"544",544,"Chalna Bandor Mahila Samity ","Port Residential Area, Mongla, Bagerhat Phone: 01711-108895","678  ","24-Jan-93  ","24-Jan-13  ","24-Jan-18  ","Bagerhat  ","Bangladesh  ","  ","local"
"545",545,"Chalo Kaj Kori ","Kha-52/3, Khilkhet Namapara, Badda, Dhaka.","1767 ","30-Nov-02 "," ","30-Nov-07 ","Dhaka ","Bangladesh "," ","local"
"546",546,"Chamurkhan Nari Kallyan Hastoshilpo Prasikkhan Kendra","House-2009/|A, Uttarkhan Mazar, Taltala, Uttarkhana, Dhaka, Mob: 017283227992","3112  ","19-Nov-17  ","  ","19-Nov-27  ","Dhaka  ","Bangladesh  ","  ","local"
"547",547,"Chandpur Socio-Economic Development Organization (CSEDO)","Fateha Monjil, Wireless Bazar, Bishaw Road, Chandpur. ","2438  ","18-May-09  ","  ","18-May-14  ","Chandpur  ","Bangladesh  ","  ","local"
"548",548,"Chandradip Development Society ","Chandradip Munir bug, Nadir Mahalla, Barishal-8200. Phone:0431-63375","1911  ","24-Feb-04  ","24-Feb-19  ","24-Feb-29  ","Barisal  ","Bangladesh  ","  ","local"
"549",549,"Change  ","House # 35A, Road # 15(New) 27 (Old), Dhanmondi R/A, Dhaka","976  ","14-Oct-95  ","  ","14-Oct-00  ","Dhaka  ","Bangladesh  ","  ","local"
"550",550,"Change and Development (CAD)  ","25 Kabi Golam Mostafa Road (G. Floor), Arafpur, Jhenidaha- 7300 Phone: 01763-147147","2252   ","17-Jul-07   ","17-Jul-17   ","17-Jul-27   ","Jhenaidah   ","Bangladesh   ","   ","local"
"551",551,"Changemaker: Society for Social and Economic Development","House-08, Road-13 (New), Suit- F-3, Dhanmondi, Dhaka-1209. ","2167  ","27-Nov-06  ","  ","27-Nov-11  ","Dhaka  ","Bangladesh  ","  ","local"
"552",552,"Char Fashion Orphanage ","Char Fashion Pourashava, PS- Char Fashion, Dist: Bhola.","2670 ","30-Jan-12 ","30-Jan-17 ","30-Jan-27 ","Bhola ","Bangladesh "," ","local"
"553",553,"Charity Foundation (CF)   ","House-71, Road-07, Block-H, Banani, Dhaka-1213 Phone: 01763-731763, Fax: 8153966","2008   ","13-Feb-05   ","13-Feb-11   ","13-Feb-16   ","Dhaka   ","Bangladesh   ","   ","local"
"554",554,"Char-O-Janata Unnayan Sangshta (CJUS) ","Char Sajai, Kodalkadi, Rajibpur, Kurigram Phone: 01785-42172","2401  ","13-Jan-09  ","13-Jan-19  ","13-Jan-29  ","Kurigram  ","Bangladesh  ","  ","local"
"555",555,"Chayakunja Development Society","317, Solaiman Nagar, Sher-E- Bangla Road, Khulna","2572 ","16-May-10 ","16-May-15 ","16-May-20 ","Khulna ","Bangladesh "," ","local"
"556",556,"Chetana Mohila Sangstha   ","Vill- Gokhla, PO: Hatirdia, Upazila: Monorhordi, Dist: Narsingdi. Phone: 01721-835909","1819   ","29-Apr-03   ","29-Apr-08   ","29-Apr-13   ","Dhaka   ","Bangladesh   ","   ","local"
"557",557,"Chetana Samaj Kallyan Kendra  ","A/133A, Flat:B-7, Road-03, Block-a, Niketon, Gulshan-1, Dhaka-1212. Phone: 9899729","1378   ","10-May-99   ","10-May-14   ","10-May-24   ","Dhaka   ","Bangladesh   ","   ","local"
"558",558,"Chetona  ","West Barandi Mollapara, Amtola, Jessore Phone: 01719-50283","2929  ","19-May-15  ","  ","19-May-20  ","Jessore  ","Bangladesh  ","  ","local"
"559",559,"Chetona Manobik Unnayan Sangstha  ","Jilim Road, PO: Chapainawabgank, Sadar, Chapainawabganj Phone: 0781-52148","2496   ","14-Oct-09   ","14-Oct-14   ","14-Oct-19   ","Chapainababg anj  ","Bangladesh   ","   ","local"
"560",560,"Chetona, Paribesh & Manob Unnayan Sangstha  ","Vill: Maskandi, PO: Usmanpur, Upazila: Kulierchar, Dist: Kishorganj. Phone: 0288136077-9","2915   ","25-Jan-15   ","   ","25-Jan-20   ","Kishorganj   ","Bangladesh   ","   ","local"
"561",561,"Child and Mother Care  ","26/1, Chamilybagh, Malibagh, Dhaka., Phone: 01853499025","3152  ","22-May-18  ","  ","22-May-28  ","Dhaka  ","Bangladesh  ","  ","local"
"562",562,"Child Development Forum ","Khilgi Road (3rd Floor), Block- B, Mohammadpur, Dhaka-1207","2251 ","4-Jul-07 "," ","4-Jul-12 ","Dhaka ","Bangladesh "," ","local"
"563",563,"Child Health Awareness Foundation ","84 Bashir Uddin Road, Kalabagan, Dhaka. Phone: 01819-387907","2778  ","1-Apr-13  ","1-Apr-18  ","1-Apr-28  ","Dhaka  ","Bangladesh  ","  ","local"
"564",564,"Child Health Awareness Foundation ","84 Bashir Uddin Road, Kalabagan, Dhaka. Phone: 01819-387907","2778  ","1-Apr-13  ","  ","1-Apr-23  ","Dhaka  ","Bangladesh  ","  ","local"
"565",565,"Child Sight Foundation  ","House-09, Flat A1 & B3, Road- 2/1, Banani R/A, Dhaka Phone: 9855731, Fax: 9841513","1978  ","31-Oct-04  ","31-Oct-14  ","31-Oct-19  ","Dhaka  ","Bangladesh  ","  ","local"
"566",566,"Children Development Program    ","Talitha Koumi Bhaban, House- 01, Word-40, Road-04, Block-A, Vatara, Badda, Dhaka. Phone: 8833929, email: office@cdp.ngo, www.cdp.org.bd","623     ","1-Jun-92     ","1-Jun-17     ","1-Jun-22     ","Dhaka     ","Bangladesh     ","     ","local"
"567",567,"Children Heart Foundation and Research, Dhaka  ","Center Point, Concord, Space- 5/B, 14/A & 31/A, Tejkunipara, Tejgaon, Dhaka Phone: 01819247365","3053   ","21-Nov-16   ","   ","21-Nov-21   ","Dhaka   ","Bangladesh   ","   ","local"
"568",568,"Children's Charter Foundation ","House-147/5 (Ground Floor), West Agargaon, Mohammadpur, Dhaka-1207.","2271  ","12-Sep-07  ","  ","12-Sep-12  ","Dhaka  ","Bangladesh  ","  ","local"
"569",569,"Childrens Hope    ","House-139, Lane-04, Estern Road, New DOHS, Mohakhali, Dhaka Phone: 8714256-2, Fax: 9883430","1596    ","10-Dec-00    ","10-Dec-15    ","10-Dec-20    ","Dhaka    ","Bangladesh    ","    ","local"
"570",570,"Children's Television Foundation of Bangladesh ","13/21 Babor Raod, Block-B, Mohammadpur, Dhaka phone: 9180331","2856  ","12-May-14  ","  ","12-May-19  ","Dhaka  ","Bangladesh  ","  ","local"
"571",571,"Chilmari Distressed Development Foundation ","P.O & Upazilla: Chilmari, Dist.: Kurigram. Phone: 01718-131499","2520  ","1-Dec-09  ","1-Dec-14  ","1-Dec-24  ","Kurigram  ","Bangladesh  ","  ","local"
"572",572,"Chilmari Palli Unnayan Foundation ","Thanahat Bazar, P.O+Upazilla: Chilmari, Dist.: Kurigram. Phone: 01715-041928","2588  ","15-Jul-10  ","  ","15-Jul-15  ","Kurigram  ","Bangladesh  ","  ","local"
"573",573,"Chinishpur Dipshikha Mohila Samity ","Vill:Chinishpur, P.O:Narsingdi Govt. College, Narsingdi. Phone : 01711-647871, 9463999","1363  ","6-Apr-99  ","6-Apr-14  ","6-Apr-19  ","Narsingdhi  ","Bangladesh  ","  ","local"
"574",574,"Chinnamukul Bangladesh ","Hospital Road, Kurigram-5600 Phone: 0581-62238","1525 ","16-May-00 ","16-May-15 ","16-May-20 ","Kurigram ","Bangladesh "," ","local"
"575",575,"Chinnamul Shishu Kishore ","H-29B, Rd-01, Dhanmondi, Dhaka.","452 ","25-Mar-91 ","25-Mar-06 ","25-Mar-11 ","Dhaka ","Bangladesh "," ","local"
"576",576,"Chinnomul Foundation  ","Vill: Haibatpur, PO: Nakipur, Shamnagar, Satkhira Phone: 01926-866133","2934  ","25-May-15  ","  ","25-May-20  ","Sathkhira  ","Bangladesh  ","  ","local"
"577",577,"Chintak Associationfor Cultural Advancement (CHACA)","Vill: Masteerpara, Gabindaganj, Gaibandha Phone: 01712285245","3072  ","3-Jan-17  ","  ","3-Jan-22  ","Gaibandha  ","Bangladesh  ","  ","local"
"578",578,"Chitra Mohila Samity ","G.R. Bhabon, Bhoakhali, Narail Phone : 3451","381 ","9-May-90 ","9-May-95 ","9-May-00 ","Narail ","Bangladesh "," ","local"
"579",579,"Chitra Unnayan Kendra  ","Shahid Mozib Road, Room No- 111, Narail. Phone: 01720-300838","2638  ","3-May-11  ","3-May-16  ","3-May-21  ","Narail  ","Bangladesh  ","  ","local"
"580",580,"Chittagong Society for the Disabled   ","House-09, (Jahirul Islam House), Block-B, Road-17/A, High Level Road, Lalkhan Bazar, Chittagong. Phone: 04435012950","2396    ","4-Dec-08    ","    ","4-Dec-13    ","Chittagong    ","Bangladesh    ","    ","local"
"581",581,"Chittagong Women Working for Family Planning & Welfare ","61, Bodiul Alam Bhaban, Jamalkhan, Chittagong. Phone: 031-634648 ","124   ","20-Oct-82   ","20-Apr-10   ","20-Apr-15   ","Chittagong   ","Bangladesh   ","Cancelled on 19/04/2010, Revived on 7/4/2013","local"
"582",582,"Christan Service International ","151/5, Manipuripara (1st floor), Tejgaon, Dhaka. Phone : 9133756","770  ","11-Nov-93  ","11-Nov-13  ","11-Nov-18  ","Dhaka  ","USA  ","  ","local"
"583",583,"Christian Aid   ","Apt F-3, House-1/A, Road-35, Gulshan-2, Dhaka-1212 Phone: 9859736-7 www.christianaid.org","1579   ","25-Oct-00   ","25-Oct-15   ","25-Oct-20   ","Dhaka   ","UK   ","   ","local"
"584",584,"Christian Commission for Development in Bangladesh (CCDB) ","88, Sen Para Parbatya, Section- 10, Mirpur, Dhaka. Phone : 8011970-3, 9010817 Fax: 9020227","8   ","22-Apr-81   ","15-May-15   ","15-May-20   ","Dhaka   ","Bangladesh   ","   ","local"
"585",585,"Christian Life Bangladesh  ","33, Senpara Parbota, Mirpur-10, Dhaka. Phone: 9004199","296  ","18-May-89  ","18-May-14  ","18-May-19  ","Dhaka  ","Bangladesh  ","  ","local"
"586",586,"Christian Ministry to Children and Youth (CMCY) ","St. Thomas Cathedral 54 Johnson Road, Dhaka-1100 Tel: 88-02-47119012 email:cmcybd1@gmail.com","1140   ","8-Mar-97   ","8-Mar-17   ","8-Mar-22   ","Dhaka   ","Bangladesh   ","   ","local"
